date_added,week,category,show_title,season_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed
2022-06-21,2022-06-19,Films (Non-English),Ben & Jody,null,9,1,1950000
2022-06-07,2022-06-05,Films (Non-English),RRR (Hindi),null,1,3,13940000
2022-05-03,2022-05-01,Films (English),Sonic the Hedgehog,null,9,1,4920000
2022-04-26,2022-04-24,TV (English),Selling Sunset,Selling Sunset: Season 5,5,1,28360000
2022-05-31,2022-05-29,Films (English),Cleveland Abduction,null,7,1,6360000
2022-05-17,2022-05-15,TV (English),Ozark,Ozark: Season 4,1,10,48620000
2022-05-24,2022-05-22,TV (English),Workin' Moms,Workin' Moms: Season 6,8,2,0
2022-05-10,2022-05-08,Films (Non-English),Brother in Love 2,null,10,1,2050000
2022-04-19,2022-04-17,Films (Non-English),Through My Window,null,10,10,2280000
2022-04-19,2022-04-17,TV (Non-English),Business Proposal,Business Proposal: Season 1,2,6,24190000
2022-05-31,2022-05-29,TV (English),Stranger Things,null,3,2,38050000
2022-04-05,2022-04-03,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,3,14,15230000
2022-04-05,2022-04-03,TV (Non-English),Business Proposal,Business Proposal: Season 1,1,4,32520000
2022-05-24,2022-05-22,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10,24,0
2022-04-05,2022-04-03,TV (Non-English),Pasión de Gavilanes,Pasión de Gavilanes: Season 1,10,1,5530000
2022-04-26,2022-04-24,TV (Non-English),Yakamoz S-245,Yakamoz S-245: Season 1,3,1,22060000
2022-04-12,2022-04-10,Films (Non-English),Ya veremos,null,10,2,3580000
2022-04-19,2022-04-17,TV (English),Better Call Saul,Better Call Saul: Season 5,8,2,12430000
2022-06-28,2022-06-26,TV (English),First Kill,First Kill: Season 1,9,3,18550000
2022-05-24,2022-05-22,Films (English),Our Father,null,5,2,0
2022-04-26,2022-04-24,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,4,3,29010000
2022-04-12,2022-04-10,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,3,7,22530000
2022-06-07,2022-06-05,TV (English),Stranger Things,null,2,3,75080000
2022-05-03,2022-05-01,TV (English),The Creature Cases,The Creature Cases: Season 1,10,2,11760000
2022-05-31,2022-05-29,TV (English),Stranger Things,Stranger Things 4,1,1,286790000
2022-06-14,2022-06-12,Films (Non-English),Toscana,null,4,4,2720000
2022-06-07,2022-06-05,Films (English),The Outpost,null,6,1,10120000
2022-05-24,2022-05-22,Films (English),Dangerous,null,3,1,0
2022-06-21,2022-06-19,TV (Non-English),The War Next-door,The War Next-door: Season 2,8,1,7710000
2022-05-17,2022-05-15,TV (Non-English),Welcome to Eden,Welcome to Eden: Season 1,1,2,62490000
2022-04-12,2022-04-10,Films (English),The In Between,null,1,1,26770000
2022-04-26,2022-04-24,Films (Non-English),Black Crab,null,8,6,1830000
2022-05-24,2022-05-22,TV (English),Bridgerton,Bridgerton: Season 2,7,9,0
2022-04-12,2022-04-10,Films (English),Shrek Forever After,null,4,2,9770000
2022-06-28,2022-06-26,Films (English),Love & Gelato,null,4,1,25790000
2022-06-07,2022-06-05,Films (English),Jack Reacher,null,9,1,5370000
2022-06-07,2022-06-05,TV (English),Stranger Things,Stranger Things 2,3,2,58270000
2022-06-28,2022-06-26,Films (Non-English),The Wrath of God,null,3,2,8450000
2022-04-19,2022-04-17,Films (English),A Score to Settle,null,3,1,9750000
2022-05-24,2022-05-22,Films (Non-English),Honeymoon with My Mother,null,9,4,0
2022-06-14,2022-06-12,Films (Non-English),RRR (Hindi),null,1,4,5230000
2022-04-05,2022-04-03,Films (English),Rescued by Ruby,null,9,3,6380000
2022-04-12,2022-04-10,TV (English),Jimmy Savile: A British Horror Story,Jimmy Savile: A British Horror Story: Limited Series,4,1,17700000
2022-06-07,2022-06-05,Films (English),Interceptor,null,1,1,35600000
2022-04-12,2022-04-10,TV (English),Super PupZ,Super PupZ: Season 1,8,1,13770000
2022-04-26,2022-04-24,Films (English),Playing with Fire,null,7,1,6750000
2022-05-10,2022-05-08,Films (English),365 Days: This Day,null,1,2,27530000
2022-04-26,2022-04-24,Films (English),How It Ends,null,4,3,8280000
2022-06-14,2022-06-12,TV (Non-English),Two Summers,Two Summers: Season 1,7,1,12210000
2022-04-19,2022-04-17,Films (English),The Call,null,7,1,7710000
2022-05-03,2022-05-01,TV (Non-English),Pedro el escamoso,Pedro el escamoso: Season 1,7,2,10460000
2022-06-28,2022-06-26,TV (Non-English),She,She: Season 2,7,1,9490000
2022-04-19,2022-04-17,Films (English),Return to Space,null,8,2,7150000
2022-04-19,2022-04-17,Films (Non-English),Dancing on Glass,null,4,1,5230000
2022-04-05,2022-04-03,Films (Non-English),Captain Nova,null,7,1,3290000
2022-04-05,2022-04-03,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",6,17,10890000
2022-05-10,2022-05-08,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,1,3,48550000
2022-05-17,2022-05-15,TV (Non-English),Pedro el escamoso,Pedro el escamoso: Season 1,8,4,9820000
2022-05-24,2022-05-22,Films (English),Operation Mincemeat,null,8,2,0
2022-05-24,2022-05-22,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 1,5,1,0
2022-06-21,2022-06-19,Films (English),Sonic the Hedgehog,null,8,8,4570000
2022-05-17,2022-05-15,Films (English),Marmaduke,null,3,2,15030000
2022-04-05,2022-04-03,TV (English),Vikings: Valhalla,Vikings: Valhalla: Season 1,9,5,10050000
2022-06-14,2022-06-12,Films (Non-English),The Perfect Family,null,8,5,1870000
2022-05-24,2022-05-22,Films (English),Borrego,null,10,1,0
2022-05-03,2022-05-01,Films (Non-English),The Turning Point,null,4,2,3060000
2022-05-03,2022-05-01,Films (English),The Adam Project,null,8,8,5660000
2022-04-12,2022-04-10,Films (Non-English),Yaksha: Ruthless Operations,null,3,1,12540000
2022-04-19,2022-04-17,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,5,16,11350000
2022-05-31,2022-05-29,TV (Non-English),Welcome to Eden,Welcome to Eden: Season 1,4,4,14340000
2022-06-28,2022-06-26,TV (English),You Don't Know Me,You Don't Know Me: Season 1,8,1,21910000
2022-06-07,2022-06-05,TV (Non-English),Welcome to Eden,Welcome to Eden: Season 1,8,5,9030000
2022-06-07,2022-06-05,TV (English),Stranger Things,Stranger Things 4,1,2,335010000
2022-04-12,2022-04-10,TV (Non-English),Pedro el escamoso,Pedro el escamoso: Season 1,9,1,6890000
2022-06-21,2022-06-19,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",4,27,11480000
2022-04-05,2022-04-03,Films (Non-English),83,null,8,2,3120000
2022-06-28,2022-06-26,Films (English),Halftime,null,9,2,8370000
2022-05-24,2022-05-22,TV (Non-English),Our Blues,Our Blues: Season 1,8,4,0
2022-06-21,2022-06-19,TV (English),First Kill,First Kill: Season 1,3,2,48770000
2022-06-21,2022-06-19,TV (English),Stranger Things,null,6,5,35880000
2022-06-14,2022-06-12,TV (English),Surviving Summer,Surviving Summer: Season 1,10,1,20300000
2022-05-03,2022-05-01,Films (English),The In Between,null,7,4,6050000
2022-04-26,2022-04-24,Films (Non-English),The Taming of the Shrewd,null,1,2,9330000
2022-04-19,2022-04-17,Films (Non-English),The Taming of the Shrewd,null,2,1,17020000
2022-05-31,2022-05-29,TV (English),Stranger Things,Stranger Things 2,5,1,22210000
2022-06-07,2022-06-05,TV (Non-English),My Liberation Notes,My Liberation Notes: Season 1,3,3,14240000
2022-04-19,2022-04-17,TV (English),Bridgerton,Bridgerton: Season 1,4,4,23300000
2022-05-31,2022-05-29,Films (Non-English),The Takedown,null,4,4,6090000
2022-04-12,2022-04-10,Films (English),The Adam Project,null,2,5,10900000
2022-06-07,2022-06-05,Films (Non-English),4 Kings,null,10,1,1920000
2022-05-31,2022-05-29,Films (English),Our Father,null,9,3,5150000
2022-04-05,2022-04-03,Films (English),Escape Room,null,10,1,6140000
2022-04-12,2022-04-10,TV (English),Bridgerton,Bridgerton: Season 2,1,3,115750000
2022-04-05,2022-04-03,TV (English),Taboo,Taboo: Season 1,10,2,8310000
2022-06-28,2022-06-26,TV (Non-English),SPRIGGAN,SPRIGGAN: Season 1,9,1,9120000
2022-04-05,2022-04-03,Films (Non-English),In Good Hands,null,3,2,10810000
2022-05-24,2022-05-22,Films (English),365 Days: This Day,null,9,4,0
2022-04-26,2022-04-24,TV (English),Bridgerton,Bridgerton: Season 2,2,5,46130000
2022-06-14,2022-06-12,Films (English),Hustle,null,1,1,84580000
2022-04-26,2022-04-24,TV (English),Heartstopper,Heartstopper: Season 1,7,1,14550000
2022-05-10,2022-05-08,Films (Non-English),Gangubai Kathiawadi,null,3,2,8320000
2022-06-07,2022-06-05,Films (English),Senior Year,null,4,4,13260000
2022-05-17,2022-05-15,Films (Non-English),Thar,null,6,2,4270000
2022-04-05,2022-04-03,Films (English),Trust No One: The Hunt for the Crypto King,null,3,1,12070000
2022-05-10,2022-05-08,TV (English),Meltdown: Three Mile Island,Meltdown: Three Mile Island: Season 1,10,1,10850000
2022-05-03,2022-05-01,TV (Non-English),Business Proposal,Business Proposal: Season 1,3,8,19500000
2022-05-31,2022-05-29,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 3,2,2,31840000
2022-04-05,2022-04-03,Films (Non-English),All Hail,null,1,1,24280000
2022-06-28,2022-06-26,TV (English),Stranger Things,Stranger Things 2,4,5,31190000
2022-05-03,2022-05-01,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,1,2,85260000
2022-04-26,2022-04-24,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,1,2,75560000
2022-06-14,2022-06-12,Films (English),Rambo: Last Blood,null,8,1,6530000
2022-04-05,2022-04-03,TV (English),The Last Kingdom,The Last Kingdom: Season 5,5,4,19110000
2022-04-19,2022-04-17,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,2,2,58470000
2022-06-07,2022-06-05,Films (Non-English),Toscana,null,2,3,5540000
2022-05-17,2022-05-15,Films (English),Den of Thieves,null,9,1,5420000
2022-05-17,2022-05-15,TV (English),Bling Empire,Bling Empire: Season 2,8,1,10750000
2022-05-10,2022-05-08,Films (English),Along for the Ride,null,4,1,10840000
2022-05-17,2022-05-15,Films (English),U.S. Marshals,null,8,2,5520000
2022-04-05,2022-04-03,Films (English),Gemini Man,null,8,3,7000000
2022-05-17,2022-05-15,Films (English),Sonic the Hedgehog,null,6,3,12290000
2022-06-14,2022-06-12,Films (Non-English),El paseo 6,null,2,1,5000000
2022-04-12,2022-04-10,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,8,11,8130000
2022-05-17,2022-05-15,TV (Non-English),Clark,Clark: Season 1,5,1,10480000
2022-04-26,2022-04-24,Films (Non-English),Through My Window,null,6,11,2200000
2022-06-28,2022-06-26,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,5,19,10820000
2022-06-14,2022-06-12,Films (English),Interceptor,null,2,2,40700000
2022-05-31,2022-05-29,Films (English),Sonic the Hedgehog,null,5,5,8910000
2022-06-21,2022-06-19,Films (English),Spiderhead,null,2,1,35400000
2022-04-26,2022-04-24,Films (Non-English),Yaksha: Ruthless Operations,null,3,3,5080000
2022-06-07,2022-06-05,Films (Non-English),F*ck Love Too,null,3,3,4780000
2022-04-12,2022-04-10,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,4,7,14830000
2022-04-12,2022-04-10,Films (Non-English),In Good Hands,null,8,3,4010000
2022-05-31,2022-05-29,Films (English),A Perfect Pairing,null,1,2,32630000
2022-06-07,2022-06-05,TV (English),The Blacklist,The Blacklist: Season 8,10,1,8710000
2022-06-07,2022-06-05,Films (Non-English),The Perfect Family,null,5,4,3040000
2022-06-28,2022-06-26,TV (English),Man Vs Bee,Man Vs Bee: Season 1,10,1,18210000
2022-04-26,2022-04-24,Films (English),White Hot: The Rise & Fall of Abercrombie & Fitch,null,3,1,9920000
2022-04-19,2022-04-17,TV (Non-English),Elite,Elite: Season 5,1,2,67390000
2022-05-10,2022-05-08,Films (Non-English),Rumspringa - An Amish in Berlin,null,5,1,6170000
2022-04-05,2022-04-03,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,4,6,15020000
2022-06-14,2022-06-12,TV (English),Peaky Blinders,Peaky Blinders: Season 6,5,1,45710000
2022-06-14,2022-06-12,TV (English),Stranger Things,Stranger Things 4,1,3,159240000
2022-04-26,2022-04-24,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,7,9,11340000
2022-05-24,2022-05-22,TV (Non-English),Business Proposal,Business Proposal: Season 1,6,11,0
2022-04-05,2022-04-03,TV (English),Top Boy,Top Boy: Season 2,6,3,16490000
2022-05-03,2022-05-01,TV (Non-English),Our Blues,Our Blues: Season 1,10,1,9090000
2022-04-19,2022-04-17,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",8,19,10400000
2022-04-26,2022-04-24,Films (English),Shrek,null,9,6,5310000
2022-05-03,2022-05-01,TV (English),Heartstopper,Heartstopper: Season 1,5,2,23940000
2022-05-10,2022-05-08,Films (English),Marmaduke,null,9,1,7010000
2022-04-19,2022-04-17,TV (English),Inventing Anna,Inventing Anna: Limited Series,6,10,13690000
2022-05-24,2022-05-22,Films (Non-English),Gangubai Kathiawadi,null,4,4,0
2022-05-31,2022-05-29,TV (English),Bridgerton,Bridgerton: Season 2,9,10,11340000
2022-05-03,2022-05-01,Films (English),How It Ends,null,6,4,6640000
2022-05-24,2022-05-22,TV (Non-English),Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,3,1,0
2022-06-14,2022-06-12,Films (English),Mission: Impossible - Ghost Protocol,null,7,1,6550000
2022-05-17,2022-05-15,Films (Non-English),Gangubai Kathiawadi,null,3,3,12190000
2022-06-14,2022-06-12,Films (English),Sonic the Hedgehog,null,10,7,5510000
2022-05-03,2022-05-01,Films (Non-English),A Hard Day,null,10,1,1260000
2022-05-10,2022-05-08,Films (Non-English),Bubble,null,6,2,4380000
2022-06-14,2022-06-12,Films (Non-English),The Takedown,null,5,6,2230000
2022-04-12,2022-04-10,Films (Non-English),Captain Nova,null,6,2,4610000
2022-06-14,2022-06-12,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 3,10,4,9030000
2022-06-07,2022-06-05,TV (English),The Boss Baby: Back in the Crib,The Boss Baby: Back in the Crib: Season 1,8,3,10530000
2022-06-21,2022-06-19,Films (Non-English),Loca por el trabajo,null,6,1,3970000
2022-04-05,2022-04-03,Films (English),6 Underground,null,5,3,8730000
2022-06-14,2022-06-12,Films (Non-English),Belzebuth,null,6,1,2060000
2022-06-28,2022-06-26,Films (English),Sing 2,null,5,1,24270000
2022-04-12,2022-04-10,Films (Non-English),Black Crab,null,5,4,4660000
2022-05-31,2022-05-29,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 2,8,1,11770000
2022-05-31,2022-05-29,Films (Non-English),The Perfect Family,null,6,3,4840000
2022-06-28,2022-06-26,TV (English),The Umbrella Academy,The Umbrella Academy: Season 1,7,1,27230000
2022-04-05,2022-04-03,Films (Non-English),Through My Window,null,10,9,2410000
2022-05-24,2022-05-22,Films (Non-English),Jersey,null,7,1,0
2022-05-17,2022-05-15,Films (Non-English),Beast,null,7,1,4050000
2022-04-26,2022-04-24,Films (Non-English),Furioza,null,2,3,6150000
2022-04-19,2022-04-17,TV (English),Is It Cake?,Is It Cake?: Season 1,10,4,11210000
2022-05-31,2022-05-29,Films (English),Senior Year,null,2,3,24560000
2022-06-14,2022-06-12,TV (English),The Lincoln Lawyer,The Lincoln Lawyer: Season 1,8,5,27190000
2022-05-10,2022-05-08,Films (English),The Gentlemen,null,5,1,8610000
2022-05-17,2022-05-15,TV (English),Bridgerton,Bridgerton: Season 2,4,8,16020000
2022-05-24,2022-05-22,TV (English),The Circle,The Circle: Season 4,4,2,0
2022-05-24,2022-05-22,TV (English),"Love, Death & Robots","Love, Death & Robots: Volume 3",6,1,0
2022-06-28,2022-06-26,Films (English),Spiderhead,null,2,2,38300000
2022-06-28,2022-06-26,TV (Non-English),"Malverde, El Santo Patron",null,4,3,11590000
2022-06-21,2022-06-19,TV (Non-English),Intimacy,Intimacy: Season 1,1,2,30210000
2022-05-10,2022-05-08,Films (English),U.S. Marshals,null,6,1,8080000
2022-06-07,2022-06-05,TV (English),Stranger Things,Stranger Things 3,4,2,47420000
2022-05-24,2022-05-22,TV (Non-English),Welcome to Eden,Welcome to Eden: Season 1,2,3,0
2022-05-17,2022-05-15,TV (Non-English),The Sound of Magic,The Sound of Magic: Season 1,4,2,16930000
2022-05-10,2022-05-08,Films (English),Men in Black: International,null,8,1,7370000
2022-04-12,2022-04-10,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,5,15,13050000
2022-06-21,2022-06-19,Films (Non-English),Don,null,8,2,2740000
2022-04-26,2022-04-24,TV (English),Bridgerton,Bridgerton: Season 1,6,5,17280000
2022-05-31,2022-05-29,Films (Non-English),Godspeed,null,8,1,4640000
2022-04-05,2022-04-03,TV (English),Top Boy,Top Boy: Season 1,8,2,13200000
2022-06-14,2022-06-12,TV (English),Keep Sweet: Pray and Obey,Keep Sweet: Pray and Obey: Limited Series,6,1,31140000
2022-06-14,2022-06-12,TV (Non-English),My Liberation Notes,My Liberation Notes: Season 1,8,4,10050000
2022-05-10,2022-05-08,Films (Non-English),Thar,null,9,1,3610000
2022-06-21,2022-06-19,TV (Non-English),As the Crow Flies,As the Crow Flies: Season 1,9,2,7640000
2022-05-10,2022-05-08,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",9,22,9530000
2022-06-14,2022-06-12,TV (Non-English),Intimacy,Intimacy: Season 1,4,1,15900000
2022-04-19,2022-04-17,Films (Non-English),Dasvi,null,6,2,4020000
2022-04-19,2022-04-17,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,10,8,9410000
2022-04-19,2022-04-17,Films (English),Choose or Die,null,2,1,16000000
2022-05-24,2022-05-22,Films (English),Jackass 4.5,null,6,1,0
2022-05-10,2022-05-08,TV (Non-English),Elite,Elite: Season 5,10,5,9490000
2022-06-14,2022-06-12,Films (English),Senior Year,null,5,5,7220000
2022-05-31,2022-05-29,TV (English),The Lincoln Lawyer,The Lincoln Lawyer: Season 1,2,3,64820000
2022-04-12,2022-04-10,Films (English),The Bubble,null,3,2,9950000
2022-06-28,2022-06-26,Films (English),Chickenhare and the Hamster of Darkness,null,6,3,10960000
2022-06-07,2022-06-05,Films (English),Memoirs of a Geisha,null,5,1,10200000
2022-04-12,2022-04-10,TV (English),CoComelon,CoComelon: Season 5,10,1,12630000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
